배숙,사과숙,과일푸딩,당근죽,과일죽,빵죽,계란죽,소간죽,생선죽,"밤,바나나죽",전통죽,당근시금치죽,달걀쇠고기죽,닭죽
12.36,10.91,20.17,12.54,15.68,13.89,12.86,10.38,14.32,24.46,17,14.55,24.21,22.58
0.15,0.23,0.38,2.61,2.11,4.55,4.91,4.55,3.34,3.19,4.53,4.2,6.06,4.87
0.098,0.13,0.092,1.46,1.39,3.41,4.5,2.19,2.01,1.55,7,1.91,5.6,2.43
1.53,2.13,3.62,36.34,31.81,50.2,54.44,34.99,42.55,19.99,0.63,30.96,26.69,27.39
0.19,0.31,0.17,0.25,0.103,0.092,0.48,0.39,0.19,0.25,0.39,0.21,0.28,0.2
3.89,2.37,15.25,9.14,16.36,1.29,5.4,7.12,1.07,3.72,3.7,5.38,0.42,0.73
